Loja Concorrente;Rede;Bairro;Municipios;Estado;UF;Localizacao;Territorio
Mestre Marceneiro  Bauru;Mestre;Jd Redentor;Bauru;Sao Paulo;SP;Jd Redentor, Bauru - SP, Brasil;5000 - Territorio Livre
Madeireira Angra;Rede Pro;Nazare;Salvador;Bahia;BA;Nazare, Salvador - BA, Brasil;1050 - Salvador
Madril;S/Rede;Abrahao Alab;Rio Branco;Acre;AC;Abrahao Alab, Rio Branco - AC, Brasil;5000 - Territorio Livre
Mestre Marceneiro  Bertioga;Mestre;Bertioga 1;Bertioga;Sao Paulo;SP;Bertioga 1, Bertioga - SP, Brasil;5000 - Territorio Livre
Santo Antonio De Jesus;Gmad;Barbalho;Salvador;Bahia;BA;Barbalho, Salvador - BA, Brasil;1050 - Salvador
Salvador;Gmad;Iapi;Salvador;Bahia;BA;Iapi, Salvador - BA, Brasil;1050 - Salvador
Madereira Brotas;Rede Pro;Imbui;Salvador;Bahia;BA;Imbui, Salvador - BA, Brasil;1050 - Salvador
Madeshop;Rede Sim;Sao Pedro;Barreiras;Bahia;BA;Sao Pedro, Barreiras - BA, Brasil;5000 - Territorio Livre
Cfg  Comercio De Ferragens Gomes;W Brasil;Brumado;Brumado;Bahia;BA;Brumado, Brumado - BA, Brasil;5000 - Territorio Livre
Calpan  Eunapolis;Rede Pro;1;Eunapolis;Bahia;BA;1, Eunapolis - BA, Brasil;5000 - Territorio Livre
Madeireira Lud Lay ;S/Rede;Centro;Feira De Santana;Bahia;BA;Centro, Feira De Santana - BA, Brasil;1049 - Feira de Santana
Madeireira Rezende ;Rede Sim;Ponto Central;Feira De Santana;Bahia;BA;Ponto Central, Feira De Santana - BA, Brasil;1049 - Feira de Santana
Calpan  Itabela;Rede Pro;Itabela;Itabela;Bahia;BA;Itabela, Itabela - BA, Brasil;5000 - Territorio Livre
Calpan  Itamaraju;Rede Pro;Itamaraju;Itamaraju;Bahia;BA;Itamaraju, Itamaraju - BA, Brasil;5000 - Territorio Livre
Casa Lago Materias Para Marcenaria;W Brasil;Itapetinga;Itapetinga;Bahia;BA;Itapetinga, Itapetinga - BA, Brasil;5000 - Territorio Livre
Madeireira Casa Da Madeira;Rede Sim;Jaborandi;Jaborandi;Bahia;BA;Jaborandi, Jaborandi - BA, Brasil;5000 - Territorio Livre
Fortplacas;W Brasil;Jacaraci;Jacaraci;Bahia;BA;Jacaraci, Jacaraci - BA, Brasil;5000 - Territorio Livre
Madeireira Simonica;S/Rede;Jacobina;Jacobina;Bahia;BA;Jacobina, Jacobina - BA, Brasil;1064 - Feira de Santana - VEX
Incomaf Marcenaria E Construcao;S/Rede;Portao;Lauro De Freitas;Bahia;BA;Portao, Lauro De Freitas - BA, Brasil;1051 - Lauro de Freitas
Alves Distribuidora ;Rede Sim;Licinio De Almeida;Licinio De Almeida;Bahia;BA;Licinio De Almeida, Licinio De Almeida - BA, Brasil;5000 - Territorio Livre
Ferplac A Casa Do Marceneiro ;Rede Sim;Licinio De Almeida;Licinio De Almeida;Bahia;BA;Licinio De Almeida, Licinio De Almeida - BA, Brasil;5000 - Territorio Livre
Neves Distribuidora ;W Brasil;Livramento De Nossa Senhora;Livramento De Nossa Senhora;Bahia;BA;Livramento De Nossa Senhora, Livramento De Nossa Senhora - BA, Brasil;5000 - Territorio Livre
Madetintas;S/Rede;Ananindeua;Ananindeua;Para;PA;Ananindeua, Ananindeua - PA, Brasil;2127 - Ananindeua
Afiaco Bahia;W Brasil;Boca Do Rio;Salvador;Bahia;BA;Boca Do Rio, Salvador - BA, Brasil;1050 - Salvador
Madeireira Periperi;S/Rede;Periperi;Salvador;Bahia;BA;Periperi, Salvador - BA, Brasil;1050 - Salvador
Almeida E Almeida;W Brasil;Campinas De Piraja;Salvador;Bahia;BA;Campinas De Piraja, Salvador - BA, Brasil;1050 - Salvador
Eletrofer;S/Rede;Bosque 3;Rio Branco;Acre;AC;Bosque 3, Rio Branco - AC, Brasil;5000 - Territorio Livre
